Type,Part Number,Brand,Model,Rank,Benchmark,Samples,Difference from 570
GPU,,Intel,Iris Pro HD 5200 (V2 Mobile 1.2 GHz),385,5.04,5300,-8914%
GPU,,Nvidia,GeForce GT 730,386,5.03,164775,-8916%
GPU,,ATI,Radeon HD 3870,387,5.01,1729,-8920%
GPU,,Nvidia,Quadro FX 3700,388,4.99,1103,-8925%
GPU,,AMD,Radeon HD 7660D,389,4.98,7522,-8927%
GPU,,Intel,HD 630 (Desktop Kaby Lake),390,4.98,156516,-8927%
GPU,,Nvidia,GeForce 8800 GS,391,4.92,349,-8940%
GPU,,AMD,Radeon HD 6750M,392,4.83,510,-8959%
GPU,,Intel,UHD Graphics 620 (Mobile Kaby Lake R),393,4.83,393994,-8959%
GPU,,AMD,Radeon 520,394,4.82,213,-8961%
GPU,,Nvidia,GeForce GTX 260M,395,4.77,1102,-8972%
GPU,,Intel,UHD Graphics 630 (Desktop Coffee Lake i3),396,4.76,34783,-8974%
GPU,,AMD,Radeon HD 6570,397,4.72,22263,-8983%
GPU,,Intel,HD 530 (Desktop Skylake),398,4.66,185074,-8996%
GPU,,Intel,HD P530 (Server Skylake),399,4.6,5128,-9009%
GPU,,Intel,HD 620 (Mobile Kaby Lake),400,4.59,378482,-9011%
GPU,,Intel,HD 530 (Mobile Skylake),401,4.59,194600,-9011%
GPU,,Nvidia,GeForce GT 445M,402,4.57,365,-9015%
GPU,,Nvidia,GeForce GT 555M,403,4.51,4142,-9028%
GPU,,AMD,Radeon HD 6630M,404,4.46,2453,-9039%
GPU,,AMD,RX Vega 3 (Ryzen iGPU),405,4.38,19596,-9056%
GPU,,Intel,HD 520 (Mobile Skylake),406,4.26,319225,-9082%
GPU,,Nvidia,GeForce GTS 360M,407,4.23,1259,-9088%
GPU,,AMD,Radeon HD 7660G,408,4.2,4117,-9095%
GPU,,Nvidia,GeForce GT 240,409,4.18,10558,-9099%
GPU,,ATI,Radeon HD 3800,410,4.14,3328,-9108%
GPU,,AMD,Radeon HD 5570,411,4.12,11383,-9112%
GPU,,ATI,Mobility Radeon HD 3870-X2 (Crossfire Disabled),412,4.1,143,-9116%
GPU,,AMD,Mobility Radeon HD 5730,413,4.08,2564,-9121%
GPU,,Nvidia,GeForce 8800 GTS,414,4.06,3161,-9125%
GPU,,AMD,Radeon HD 7600M,415,4.04,7568,-9129%
GPU,,Nvidia,GeForce GT 230,416,4.01,1423,-9136%
GPU,,AMD,Radeon HD 7670M,417,3.99,920,-9140%
GPU,,Nvidia,GeForce GT 440,418,3.95,13989,-9149%
GPU,,Nvidia,GeForce 9600 GT,419,3.94,20282,-9151%
GPU,,Nvidia,Quadro FX 4600,420,3.94,1235,-9151%
GPU,,Nvidia,GeForce 820M,421,3.89,8870,-9162%
GPU,,Nvidia,GeForce GT 720,422,3.82,16117,-9177%
GPU,,Nvidia,GeForce GT 630,423,3.78,59096,-9185%
GPU,,Nvidia,NVS 5400M,424,3.75,1599,-9192%
GPU,,Intel,HD 5500 (Mobile 0.95 GHz),425,3.72,223239,-9198%
GPU,,Nvidia,GeForce 9800M GTS,426,3.71,351,-9200%
GPU,,Intel,Iris Pro HD 5100 (Mobile 1.1 GHz),427,3.68,4387,-9207%
GPU,,ATI,Mobility Radeon HD 4670,428,3.67,2155,-9209%
GPU,,AMD,Radeon HD 8570D,429,3.66,8028,-9211%
GPU,,Nvidia,GeForce GT 720M,430,3.66,4571,-9211%
GPU,,Nvidia,GeForce GT 550M,431,3.58,929,-9228%
GPU,,Nvidia,GeForce 710M,432,3.55,2228,-9235%
GPU,,AMD,Radeon HD 7500M,433,3.54,12529,-9237%
GPU,,Nvidia,GeForce GT620M,434,3.53,880,-9239%
GPU,,AMD,Radeon HD 7650M,435,3.53,532,-9239%
GPU,,AMD,Radeon HD 8610G,436,3.52,5548,-9241%
GPU,,AMD,Radeon HD 7560D,437,3.5,9479,-9246%
GPU,,Nvidia,Quadro K600,438,3.5,8792,-9246%
GPU,,AMD,Radeon HD 6550D,439,3.48,3964,-9250%
GPU,,Nvidia,Quadro K1000M,440,3.48,3965,-9250%
GPU,,Nvidia,GeForce GT 635M,441,3.47,3034,-9252%
GPU,,Intel,HD 615 (Mobile Kaby Lake),442,3.45,10646,-9256%
GPU,,Nvidia,GeForce GTS 250M,443,3.44,294,-9259%
GPU,,Nvidia,Quadro FX 1800,444,3.42,6328,-9263%
GPU,,Nvidia,GeForce GT 530,445,3.41,5662,-9265%
GPU,,Nvidia,GeForce GT 430,446,3.38,19825,-9272%
GPU,,Nvidia,GeForce GT 630M,447,3.36,7356,-9276%
GPU,,Nvidia,GeForce GT 710,448,3.36,170781,-9276%
GPU,,Nvidia,GeForce GT625M,449,3.34,42,-9280%
GPU,,Nvidia,Quadro 1000M,450,3.33,6035,-9282%
GPU,,Nvidia,GeForce 9800M-GS,451,3.3,227,-9289%
GPU,,Nvidia,GeForce GT 320,452,3.3,2087,-9289%
GPU,,Nvidia,NVS 5200M,453,3.27,1727,-9295%
GPU,,ATI,Radeon HD 4670,454,3.2,19856,-9310%
GPU,,Nvidia,NVS 510,455,3.19,2295,-9313%
GPU,,Nvidia,GeForce GT 435M,456,3.18,614,-9315%
GPU,,AMD,Radeon HD 6500M,457,3.18,13112,-9315%
GPU,,Nvidia,Quadro 600,458,3.16,15796,-9319%
GPU,,AMD,Radeon HD 8510G,459,3.13,2338,-9325%
GPU,,Nvidia,GeForce GT 540M,460,3.13,14391,-9325%
GPU,,Intel,HD P4000 (Server 1.25 GHz),461,3.11,761,-9330%
GPU,,AMD,Radeon HD 8550G,462,3.1,3015,-9332%
GPU,,Nvidia,Quadro FX 3600M,463,3.1,116,-9332%
GPU,,Intel,HD 515 (Mobile Skylake),464,3.09,9228,-9334%
GPU,,Intel,HD 5000 (Mobile 1.0/1.1 GHz),465,3.07,6916,-9338%
GPU,,AMD,Radeon HD 5500,466,3.06,5829,-9341%
GPU,,AMD,Radeon HD 7610M,467,3.04,309,-9345%
GPU,,AMD,Radeon HD 7640G,468,2.94,7836,-9366%
GPU,,ATI,Radeon HD 4650,469,2.89,1673,-9377%
GPU,,Intel,HD Graphics P4600,470,2.89,2141,-9377%
GPU,,Intel,HD 4000 (Desktop 1.15 GHz),471,2.83,54064,-9390%
GPU,,AMD,Radeon HD 8470D,472,2.82,8421,-9392%
GPU,,ATI,Mobility Radeon HD 4650,473,2.8,4472,-9397%
GPU,,AMD,Radeon HD 6620G,474,2.78,3357,-9401%
GPU,,Nvidia,Quadro FX 1800M,475,2.78,1190,-9401%
GPU,,Intel,HD 4600 (Desktop 1.25 GHz),476,2.76,250918,-9405%
GPU,,AMD,Radeon HD 7600G,477,2.73,1657,-9412%
GPU,,Nvidia,GeForce GT 335M,478,2.72,924,-9414%
GPU,,Intel,HD 4600 (Mobile 1.15 GHz),479,2.71,251449,-9416%
GPU,,Nvidia,GeForce GT 425M,480,2.7,2997,-9418%
GPU,,AMD,Radeon HD 7540D,481,2.67,4371,-9425%
GPU,,Nvidia,Quadro FX 2700M,482,2.62,798,-9435%
GPU,,Intel,HD 4000 (Mobile 1.25 GHz),483,2.6,405101,-9440%
GPU,,Intel, HD 610 (Desktop Kaby Lake),484,2.57,13834,-9446%
GPU,,Nvidia,GeForce GT 525M,485,2.56,8884,-9448%
GPU,,Nvidia,GeForce GT 130,486,2.53,236,-9455%
GPU,,Nvidia,GeForce GT 420M,487,2.45,1915,-9472%
GPU,,Intel,HD 4400 (Desktop 1.15 GHz),488,2.43,55937,-9476%
GPU,,Intel,Core M HD 5300,489,2.41,6994,-9481%
GPU,,AMD,Radeon HD 7520G,490,2.4,4871,-9483%
GPU,,Intel,HD 510 (Desktop Skylake),491,2.32,15960,-9500%
GPU,,AMD,Radeon HD 6530D,492,2.31,4689,-9502%
GPU,,Nvidia,GeForce GT 220,493,2.29,18689,-9506%
GPU,,Intel,HD 4400 (Mobile 1.0/1.1 GHz),494,2.22,274655,-9522%
GPU,,Nvidia,GeForce GT 620,495,2.21,16566,-9524%
GPU,,Nvidia,GeForce GT 330M,496,2.16,7624,-9534%
GPU,,AMD,Radeon HD 6520G,497,2.14,8023,-9539%
GPU,,Nvidia,NVS 5100M,498,2.13,1887,-9541%
GPU,,Nvidia,GeForce GT 240M,499,2.13,2412,-9541%
GPU,,Nvidia,Quadro FX 880M,500,2.11,4649,-9545%
GPU,,Intel,UHD Graphics 605,501,2.1,13868,-9547%
GPU,,Nvidia,GeForce GT 520MX,502,2.07,1569,-9554%
GPU,,AMD,Radeon HD 7500G,503,2.05,1243,-9558%
GPU,,Nvidia,GeForce 9700M GT,504,2.05,300,-9558%
GPU,,Nvidia,GeForce GT 705,505,2,4624,-9569%
GPU,,AMD,Radeon  HD 6490M,506,1.99,416,-9571%
GPU,,AMD,Radeon HD 7470M,507,1.98,451,-9573%
GPU,,AMD,HD 7470,508,1.97,14679,-9575%
GPU,,Nvidia,GeForce GT 130M,509,1.95,682,-9580%
GPU,,Intel,HD 3000 (Desktop V2 1.35 GHz),510,1.93,6890,-9584%
GPU,,AMD,Radeon HD 8370D,511,1.92,5290,-9586%
GPU,,Nvidia,GeForce 8600 GTS,512,1.91,2643,-9588%
GPU,,AMD,Radeon R5,513,1.9,42222,-9591%
GPU,,AMD,Radeon HD 7400M,514,1.87,4713,-9597%
GPU,,AMD,Radeon HD 6470M,515,1.87,4454,-9597%
GPU,,Nvidia,GeForce GT 230M,516,1.86,2887,-9599%
GPU,,AMD,Radeon HD 7480D,517,1.86,8155,-9599%
GPU,,Nvidia,GeForce 610M,518,1.86,4709,-9599%
GPU,,Nvidia,GeForce GT 520,519,1.86,14402,-9599%
GPU,,Nvidia,Quadro 400,520,1.84,1010,-9603%
GPU,,ATI,Radeon HD 2600-XT,521,1.78,1905,-9616%
GPU,,Nvidia,GeForce 9500 GS,522,1.77,1398,-9619%
GPU,,Nvidia,GeForce GT 610,523,1.77,59248,-9619%
GPU,,Intel,HD 3000 (Mobile V2 1.3 GHz),524,1.76,114375,-9621%
GPU,,Nvidia,GeForce 9650M-GT,525,1.75,329,-9623%
GPU,,Nvidia,GeForce GT 520M,526,1.74,5728,-9625%
GPU,,Nvidia,NVS 4200M,527,1.74,6469,-9625%
GPU,,Nvidia,Quadro FX 770M,528,1.74,844,-9625%
GPU,,Nvidia,GeForce GT 420,529,1.74,9661,-9625%
GPU,,ATI,Radeon HD 2600,530,1.73,6,-9627%
GPU,,Nvidia,GeForce 320M,531,1.71,552,-9631%
GPU,,AMD,Radeon HD 7450,532,1.69,10092,-9636%
GPU,,Nvidia,GeForce GT 220M,533,1.67,960,-9640%
GPU,,AMD,Radeon HD 6480G,534,1.67,4985,-9640%
GPU,,AMD,Radeon HD 6450,535,1.66,30909,-9642%
GPU,,Intel,HD 4200 (Mobile 0.85 GHz),536,1.66,3317,-9642%
GPU,,Nvidia,Quadro FX 1600M,537,1.65,423,-9644%
GPU,,Intel,HD 3000 (Desktop V1 1.1 GHz),538,1.61,7859,-9653%
GPU,,Nvidia,GeForce 9500 GT,539,1.59,27299,-9657%
GPU,,AMD,Radeon R3 Graphics,540,1.58,6172,-9659%
GPU,,AMD,Radeon HD 6410D,541,1.57,3112,-9662%
GPU,,ATI,Mobility Radeon HD 3670,542,1.56,405,-9664%
GPU,,AMD,Radeon HD 7400G,543,1.55,375,-9666%
GPU,,Intel,UHD Graphics 600,544,1.54,33075,-9668%
GPU,,AMD,Radeon HD 8400-R3,545,1.53,12368,-9670%
GPU,,Nvidia,GeForce 7900 GTX,546,1.53,191,-9670%
GPU,,Intel,HD 3000 (Mobile V1 1.1/1.2 GHz),547,1.52,207383,-9672%
GPU,,Nvidia,Quadro NVS 320M,548,1.51,171,-9675%
GPU,,ATI,Mobility Radeon HD 2600-XT,549,1.49,295,-9679%
GPU,,Intel,HD Graphics (G4 Pentium/Celeron 1.05/1.15 GHz),550,1.46,36451,-9685%
GPU,,Nvidia,Quadro FX 580,551,1.45,5941,-9688%
GPU,,Nvidia,GeForce 9600M-GS,552,1.45,1042,-9688%
GPU,,ATI,HD 3650,553,1.44,4018,-9690%
GPU,,Nvidia,GeForce 9600M-GT,554,1.42,4021,-9694%
GPU,,Nvidia,GeForce 8600 GT,555,1.4,7840,-9698%
GPU,,Nvidia,GeForce 410M,556,1.4,4591,-9698%
GPU,,ATI,Mobility FireGL V5700,557,1.36,178,-9707%
GPU,,AMD,Radeon HD 8330,558,1.35,8962,-9709%
GPU,,Nvidia,Quadro FX 570M,559,1.33,445,-9713%
GPU,,Nvidia,GeForce GT 415M,560,1.27,85,-9726%
GPU,,Nvidia,NVS 310,561,1.26,4759,-9728%
GPU,,ATI,Radeon HD 2600-PRO,562,1.26,1815,-9728%
GPU,,Intel,HD 2500 (Desktop 1.05 GHz),563,1.23,143038,-9735%
GPU,,ATI,Mobility Radeon HD 545v,564,1.23,656,-9735%
GPU,,ATI,Mobility Radeon HD 3650,565,1.17,3287,-9748%
GPU,,Nvidia,GeForce 8600M GT,566,1.17,2101,-9748%
GPU,,Nvidia,Quadro FX 1700,567,1.15,2644,-9752%
GPU,,Intel,HD Graphics (G3 Pentium/Celeron 1.0/1.1 GHz),568,1.14,29283,-9754%
GPU,,ATI,Mobility Radeon HD 4570,569,1.14,393,-9754%
GPU,,AMD,HD 8240,570,1.14,3326,-9754%
GPU,,ATI,Mobility Radeon HD 2600,571,1.12,958,-9759%
GPU,,AMD,Radeon HD 6370M,572,1.1,748,-9763%
GPU,,ATI,Mobility Radeon HD 6370,573,1.1,335,-9763%
GPU,,Nvidia,GeForce 7800 GTX,574,1.06,207,-9772%
GPU,,ATI,Mobility Radeon HD 4500,575,1.06,10011,-9772%
GPU,,Nvidia,Quadro FX 4500,576,1.01,309,-9782%
GPU,,Nvidia,GeForce 7900 GS,577,0.99,588,-9787%
GPU,,ATI,Radeon HD 4550,578,0.99,3265,-9787%
GPU,,Nvidia,GeForce GT 320M,579,0.95,1807,-9795%
GPU,,Nvidia,Quadro FX 3500,580,0.95,594,-9795%
GPU,,Nvidia,GeForce 7800 GT,581,0.94,231,-9797%
GPU,,ATI,Mobility Radeon HD 5470,582,0.93,16176,-9800%
GPU,,Nvidia,GeForce 310M,583,0.91,8427,-9804%
GPU,,AMD,Radeon HD 6300M,584,0.91,3031,-9804%
GPU,,AMD,Radeon HD 7350,585,0.9,1654,-9806%
GPU,,Nvidia,GeForce 9400 GT,586,0.9,12738,-9806%
GPU,,ATI,Radeon HD 4200,587,0.9,10294,-9806%
GPU,,Nvidia,GeForce G210M,588,0.89,1372,-9808%
GPU,,ATI,Radeon HD 4300,589,0.89,15014,-9808%
GPU,,Nvidia,GeForce 315M,590,0.88,3260,-9810%
GPU,,AMD,FirePro 2270,591,0.86,472,-9815%
GPU,,Nvidia,Quadro FX 380,592,0.86,1159,-9815%
GPU,,ATI,Mobility Radeon HD 4350,593,0.86,1840,-9815%
GPU,,AMD,Radeon HD 6350,594,0.85,2833,-9817%
GPU,,Nvidia,NVS 3100M,595,0.84,8765,-9819%
GPU,,ATI,Mobility Radeon HD 530v,596,0.84,249,-9819%
GPU,,ATI,Radeon HD 3200,597,0.83,5781,-9821%
GPU,,Nvidia,GeForce 310,598,0.82,4099,-9823%
GPU,,AMD,Radeon HD 7340,599,0.82,3266,-9823%
GPU,,ATI,Radeon HD 5400,600,0.81,10059,-9825%
GPU,,AMD,Radeon HD 5450,601,0.81,64090,-9825%
GPU,,Nvidia,GeForce 305M,602,0.81,45,-9825%
GPU,,Nvidia,GeForce G210,603,0.78,3960,-9832%
GPU,,ATI,Mobility Radeon HD 4300,604,0.78,2770,-9832%
GPU,,Nvidia,NVS 300,605,0.77,2470,-9834%
GPU,,Nvidia,GeForce 210,606,0.77,63076,-9834%
GPU,,Nvidia,GeForce Go 7900,607,0.77,122,-9834%
GPU,,AMD,HD 8210,608,0.76,4684,-9836%
GPU,,ATI,Radeon HD 4250,609,0.76,5677,-9836%
GPU,,AMD,Radeon HD 6320,610,0.76,8534,-9836%
GPU,,Nvidia,GeForce 8400 GS,611,0.75,18976,-9838%
GPU,,ATI,Mobility Radeon HD 4250,612,0.73,11030,-9843%
GPU,,Nvidia,GeForce 8600M GS,613,0.73,898,-9843%
GPU,,Nvidia,GeForce 9400M,614,0.73,599,-9843%
GPU,,ATI,Radeon 3000 Graphics,615,0.71,22207,-9847%
GPU,,Nvidia,GeForce 7600 GT,616,0.7,1214,-9849%
GPU,,Nvidia,Quadro NVS 295,617,0.69,1000,-9851%
GPU,,ATI,Radeon HD 4290,618,0.69,1046,-9851%
GPU,,Intel,HD 2000 (Desktop 1.1 GHz),619,0.68,143729,-9853%
GPU,,Intel,HD Graphics (G2 Pentium/Celeron 1.1/1.15 GHz),620,0.67,38296,-9856%
GPU,,AMD,Radeon HD 6310,621,0.67,13006,-9856%
GPU,,Nvidia,GeForce 7800 GS,622,0.66,41,-9858%
GPU,,Nvidia,GeForce 8500 GT,623,0.66,4617,-9858%
GPU,,Nvidia,ION,624,0.65,1633,-9860%
GPU,,AMD,Radeon HD 7310,625,0.65,7836,-9860%
GPU,,ATI,Radeon HD 3450,626,0.64,4640,-9862%
GPU,,Nvidia,Quadro FX 570,627,0.64,1367,-9862%
GPU,,Nvidia,GeForce 8400M GT,628,0.64,371,-9862%
GPU,,Intel,HD Graphics (Clarkdale 0.733/0.9 GHz),629,0.64,16172,-9862%
GPU,,ATI,Mobility Radeon HD 3400,630,0.62,6569,-9866%
GPU,,ATI,Radeon HD 3300,631,0.62,911,-9866%
GPU,,Intel,HD Graphics (Bay Trail 0.667 - 0.854 GHz),632,0.62,89802,-9866%
GPU,,Nvidia,GeForce G105M,633,0.61,2388,-9869%
GPU,,Intel,Q45/Q43 Express Chipset,634,0.58,15736,-9875%
GPU,,Intel,G45/G43 Express Chipset,635,0.57,6510,-9877%
GPU,,AMD,Radeon HD 6250M,636,0.57,47,-9877%
GPU,,Nvidia,Quadro FX 1500,637,0.57,499,-9877%
GPU,,ATI,Radeon HD 2400-PRO,638,0.56,2936,-9879%
GPU,,Nvidia,Quadro NVS 290,639,0.56,1546,-9879%
GPU,,Intel,G41 Express Chipset,640,0.56,31162,-9879%
GPU,,Nvidia,Quadro NVS 140M,641,0.55,885,-9881%
GPU,,Nvidia,GeForce 9300M GS,642,0.54,2046,-9884%
GPU,,Nvidia,Quadro NVS 160M,643,0.53,1471,-9886%
GPU,,Nvidia,GeForce 7600 GS,644,0.53,1213,-9886%
GPU,,AMD,Radeon HD 6290,645,0.52,2401,-9888%
GPU,,Intel,4 Series Internal Chipset,646,0.49,991,-9894%
GPU,,Nvidia,GeForce 8400M GS,647,0.49,2312,-9894%
GPU,,Nvidia,GeForce 9200M GS,648,0.49,1060,-9894%
GPU,,Nvidia,Quadro NVS 450,649,0.49,584,-9894%
GPU,,AMD,Radeon HD 6250,650,0.49,1598,-9894%
GPU,,Nvidia,GeForce 9300 GS,651,0.48,442,-9897%
GPU,,Intel,HD Graphics (Arrandale 0.667/0.766 GHz),652,0.48,94280,-9897%
GPU,,AMD,Radeon X1650,653,0.48,727,-9897%
GPU,,Nvidia,GeForce 8200,654,0.47,1024,-9899%
GPU,,ATI,FirePro 2260,655,0.45,368,-9903%
GPU,,Intel,Mobile Series 4 Express Chipset Family,656,0.45,25180,-9903%
GPU,,ATI,Mobility Radeon HD 2400,657,0.43,633,-9907%
GPU,,ATI,Radeon 3100 Graphics,658,0.42,1219,-9909%
GPU,,AMD,Radeon X1600,659,0.4,1015,-9914%
GPU,,Nvidia,Quadro FX 3450/4000 SDI,660,0.37,416,-9920%
GPU,,Nvidia,GeForce Go 7600,661,0.37,396,-9920%
GPU,,Nvidia,GeForce 7300 GT,662,0.35,1545,-9925%
GPU,,ATI,Mobility Radeon X1600,663,0.33,428,-9929%
GPU,,Nvidia,GeForce 6600 GT,664,0.32,578,-9931%
GPU,,ATI,MOBILITY FireGL V5250,665,0.31,43,-9933%
GPU,,Nvidia,GeForce 8400M G,666,0.3,305,-9935%
GPU,,Nvidia,Quadro NVS 135M,667,0.3,600,-9935%
GPU,,Nvidia,GeForce 8200M G,668,0.3,1353,-9935%
GPU,,Nvidia,GeForce 6600,669,0.22,965,-9953%
GPU,,Nvidia,GeForce 7300 GS,670,0.18,932,-9961%
GPU,,AMD,Radeon X1300,671,0.18,1436,-9961%
GPU,,Nvidia,GeForce Go 7400,672,0.17,410,-9963%
GPU,,AMD,Radeon X1550,673,0.16,754,-9966%
GPU,,ATI,Mobility Radeon X2300,674,0.15,386,-9968%
GPU,,Nvidia,GeForce 7300 LE,675,0.15,1556,-9968%
GPU,,ATI,Mobility Radeon X1400,676,0.13,467,-9972%
GPU,,Nvidia,GeForce Go 7300,677,0.13,580,-9972%
GPU,,ATI,Mobility Radeon X1300,678,0.13,358,-9972%
GPU,,Nvidia,Quadro NVS 440,679,0.11,105,-9976%
GPU,,Nvidia,GeForce 7100 GS,680,0.07,814,-9985%
GPU,,Nvidia,GeForce 7300 SE,681,0.07,2613,-9985%
GPU,,Nvidia,GeForce 7100 / nForce 630i,682,0.07,1219,-9985%
GPU,,Nvidia,GeForce 6200,683,0.06,1771,-9987%
GPU,,Nvidia,GeForce 6150,684,0.06,1044,-9987%
GPU,,Nvidia,GeForce 7025 / nForce 630a,685,0.06,7730,-9987%
GPU,,Nvidia,GeForce 6100,686,0.06,904,-9987%
GPU,,Nvidia,GeForce 6150SE nForce 430,687,0.05,6584,-9989%
GPU,,Nvidia,GeForce 7150M / nForce 630M,688,0.05,388,-9989%
GPU,,Intel,Graphics Media Accelerator 3150,689,0,0,-10000%
